"filename", "language", "JSON", "JSON with Comments", "Markdown", "HTML", "JavaScript", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Frontend\Aurelia\Aurelia\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 11, 39
"d:\Frontend\Aurelia\Aurelia\eslint.config.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"d:\Frontend\Aurelia\Aurelia\fix.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 12, 64
"d:\Frontend\Aurelia\Aurelia\index.html", "HTML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Frontend\Aurelia\Aurelia\package-lock.json", "JSON", 5545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5546
"d:\Frontend\Aurelia\Aurelia\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\Frontend\Aurelia\Aurelia\shops_updated.json", "JSON", 3444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3444
"d:\Frontend\Aurelia\Aurelia\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 6, 89
"d:\Frontend\Aurelia\Aurelia\src\Components\AISuggest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\DashBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 2, 64
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\EditProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 277, 0, 3, 11, 291
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\LeftSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 3, 14, 144
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\RightSide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 67, 0, 3, 9, 79
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\RightSideComponent.tsx\BarprocessTier.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 3, 8, 118
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\RightSideComponent.tsx\Favourite.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\RightSideComponent.tsx\HistoryOrder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 5, 58
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\RightSideComponent.tsx\RecentOrder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 155, 0, 2, 10, 167
"d:\Frontend\Aurelia\Aurelia\src\Components\AccountComponents\User\RightSideComponent.tsx\Stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 3, 61
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\Banner\AddBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 369, 0, 1, 18, 388
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\Banner\BannerSetting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 329, 0, 6, 15, 350
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\Banner\LayoutPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 1, 11, 143
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\CollectionComponent\AddCollectionForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 343, 0, 10, 19, 372
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\Collections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 210, 0, 9, 15, 234
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\Coupon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 303, 0, 10, 16, 329
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\CouponComponent\AddCoupon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 9, 247
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\CouponComponent\EditCoupon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 9, 231
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\OverView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 320, 0, 5, 17, 342
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\ProductManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 293, 0, 12, 10, 315
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\ProductManagementComponents\ImportExcel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 181, 0, 4, 14, 199
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\Revenue.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 401, 0, 13, 18, 432
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\SideBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 190, 0, 7, 11, 208
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\DashBoardComponent\Store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 3, 14, 169
"d:\Frontend\Aurelia\Aurelia\src\Components\AdminBrandComponent\LogIn\AdminSiteLog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 8, 86
"d:\Frontend\Aurelia\Aurelia\src\Components\AiModelBodySize\DashBoardMesuares.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 9, 194
"d:\Frontend\Aurelia\Aurelia\src\Components\AiModelBodySize\Main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 229, 0, 0, 26, 255
"d:\Frontend\Aurelia\Aurelia\src\Components\BookingAppointment\FormBooking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 394, 0, 4, 24, 422
"d:\Frontend\Aurelia\Aurelia\src\Components\CardProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"d:\Frontend\Aurelia\Aurelia\src\Components\CheckOutComponents\CouponCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 10, 185
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\AppointmentList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 106, 0, 2, 10, 118
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\DashBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 253, 0, 5, 10, 268
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\ListCustomers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 175, 0, 7, 12, 194
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\Notification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 4, 8, 112
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\OrderList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 289, 0, 11, 27, 327
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\OrderListMiniComponent\PopUpDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 4, 9, 140
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\PopupSetting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\ProductList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 393, 0, 4, 18, 415
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\ProductListComponents\AddProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 341, 0, 6, 23, 370
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\ProductListComponents\Export.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"d:\Frontend\Aurelia\Aurelia\src\Components\DashBoardShopComponent\SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 4, 67
"d:\Frontend\Aurelia\Aurelia\src\Components\FormAuthorForShop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 4, 10, 93
"d:\Frontend\Aurelia\Aurelia\src\Components\FormAuthorForUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 0, 3, 6, 130
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\BestSeller.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\BrandMarquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\Collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 2, 5, 62
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\DanhMucSanPham.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 3, 5, 74
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\DiscountProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 2, 7, 64
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 1, 4, 56
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\HeroBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 160, 0, 4, 18, 182
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\HotProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 2, 6, 64
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\LimitedOfferBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 4, 58
"d:\Frontend\Aurelia\Aurelia\src\Components\HomeComponent\Story.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 120, 0, 2, 10, 132
"d:\Frontend\Aurelia\Aurelia\src\Components\ListCoupon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 8, 85
"d:\Frontend\Aurelia\Aurelia\src\Components\MockPayment.tsx\CreditCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 1, 5, 94
"d:\Frontend\Aurelia\Aurelia\src\Components\MockPayment.tsx\Paypal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 91, 0, 4, 6, 101
"d:\Frontend\Aurelia\Aurelia\src\Components\NotifySuccessBooking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 6, 64
"d:\Frontend\Aurelia\Aurelia\src\Components\PaymentOptions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 61
"d:\Frontend\Aurelia\Aurelia\src\Components\ProductComponent\BannerTitle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\Frontend\Aurelia\Aurelia\src\Components\ProductComponent\FilterType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 0, 1, 4, 85
"d:\Frontend\Aurelia\Aurelia\src\Components\ProductComponent\ListProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 44
"d:\Frontend\Aurelia\Aurelia\src\Components\ProductComponent\ProductRecommend.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 3, 38
"d:\Frontend\Aurelia\Aurelia\src\Components\TimKiemTaiStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 2, 8, 123
"d:\Frontend\Aurelia\Aurelia\src\Components\TrackingOrder\LeftSite.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 5, 11, 113
"d:\Frontend\Aurelia\Aurelia\src\Components\TrackingOrder\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\Frontend\Aurelia\Aurelia\src\Components\TrackingOrder\RightSiteMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 14, 200
"d:\Frontend\Aurelia\Aurelia\src\Page\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"d:\Frontend\Aurelia\Aurelia\src\Page\Account.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"d:\Frontend\Aurelia\Aurelia\src\Page\AllCollection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 2, 29
"d:\Frontend\Aurelia\Aurelia\src\Page\BodySize.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"d:\Frontend\Aurelia\Aurelia\src\Page\Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 2, 9, 163
"d:\Frontend\Aurelia\Aurelia\src\Page\CheckOut.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 304, 0, 7, 17, 328
"d:\Frontend\Aurelia\Aurelia\src\Page\Collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 10, 84
"d:\Frontend\Aurelia\Aurelia\src\Page\DashBoardAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 4, 46
"d:\Frontend\Aurelia\Aurelia\src\Page\DashBoardShop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"d:\Frontend\Aurelia\Aurelia\src\Page\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 6, 108
"d:\Frontend\Aurelia\Aurelia\src\Page\MainProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 308, 0, 7, 24, 339
"d:\Frontend\Aurelia\Aurelia\src\Page\MockPayMent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"d:\Frontend\Aurelia\Aurelia\src\Page\Product.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"d:\Frontend\Aurelia\Aurelia\src\Page\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 5, 88
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\ao.json", "JSON", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 282
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\dam.json", "JSON", 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 290
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\dataProduct.json", "JSON", 481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 481
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\dataSeason.json", "JSON", 1128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1128
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\fashion_womens_100.json", "JSON", 8026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8026
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\luxury_jewelry.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\luxury_watches.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"d:\Frontend\Aurelia\Aurelia\src\assets\DataMock\vay.json", "JSON", 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279
"d:\Frontend\Aurelia\Aurelia\src\assets\aurelia_logo_svg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 5, 43
"d:\Frontend\Aurelia\Aurelia\src\config\AIPoseMeasure.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 6, 81
"d:\Frontend\Aurelia\Aurelia\src\config\AdminContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 265, 0, 3, 19, 287
"d:\Frontend\Aurelia\Aurelia\src\config\AppointmentContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 8, 117
"d:\Frontend\Aurelia\Aurelia\src\config\Author.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 12, 88
"d:\Frontend\Aurelia\Aurelia\src\config\AuthorForAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"d:\Frontend\Aurelia\Aurelia\src\config\AuthorForShop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 14, 50
"d:\Frontend\Aurelia\Aurelia\src\config\CartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 3, 12, 145
"d:\Frontend\Aurelia\Aurelia\src\config\DashBoardShopContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 11, 181
"d:\Frontend\Aurelia\Aurelia\src\config\DiaChiContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 3, 11, 91
"d:\Frontend\Aurelia\Aurelia\src\config\FIlterProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 24, 195
"d:\Frontend\Aurelia\Aurelia\src\config\NotifycationContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 22, 177
"d:\Frontend\Aurelia\Aurelia\src\config\SeasonContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 6, 87
"d:\Frontend\Aurelia\Aurelia\src\config\Store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 5, 68
"d:\Frontend\Aurelia\Aurelia\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 5, 58
"d:\Frontend\Aurelia\Aurelia\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 2, 54
"d:\Frontend\Aurelia\Aurelia\src\types\api.ts", "TypeScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 6, 98
"d:\Frontend\Aurelia\Aurelia\src\types\type.ts", "TypeScript", 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 9, 231
"d:\Frontend\Aurelia\Aurelia\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Frontend\Aurelia\Aurelia\tsconfig.app.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"d:\Frontend\Aurelia\Aurelia\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Frontend\Aurelia\Aurelia\tsconfig.node.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"d:\Frontend\Aurelia\Aurelia\updateProductIds.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 10, 49
"d:\Frontend\Aurelia\Aurelia\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"Total", "-", 19662, 7, 28, 21, 106, 320, 50, 12380, 32, 225, 976, 33807